,AQI,City,Condition,Humidity,PM 10,PM 2.5,State,Temperature
0,61,Addanki,Moderate,69,76,27,andhra-pradesh,33
1,64,Adoni,Moderate,37,94,25,andhra-pradesh,34
2,70,Amalapuram,Moderate,75,72,37,andhra-pradesh,31
3,43,Amudalavalasa,Good,80,36,22,andhra-pradesh,32
4,50,Anakapalle,Good,73,36,22,andhra-pradesh,30
5,65,Anantapur,Moderate,50,49,22,andhra-pradesh,30
6,58,Badvel,Moderate,49,21,7,andhra-pradesh,35
7,45,Bapatla,Good,58,41,13,andhra-pradesh,30
8,44,Bezwada,Good,63,41,13,andhra-pradesh,27
9,40,Bhimavaram,Good,74,45,21,andhra-pradesh,32
10,50,Bhimunipatnam,Good,80,36,22,andhra-pradesh,31
11,44,Bobbili,Good,74,35,22,andhra-pradesh,32
12,45,Chicacole,Good,80,36,22,andhra-pradesh,32
13,44,Chilakalurupet,Good,66,41,13,andhra-pradesh,32
14,76,Chimakurti,Moderate,70,36,17,andhra-pradesh,33
15,48,Chipurupalle,Good,71,36,22,andhra-pradesh,32
16,51,Chirala,Moderate,58,47,20,andhra-pradesh,30
17,31,Chittoor,Good,71,31,7,andhra-pradesh,30
18,48,Cuddapah,Good,44,64,28,andhra-pradesh,34
19,41,Dharmavaram,Good,48,17,8,andhra-pradesh,32
20,47,Draksharama,Good,78,53,26,andhra-pradesh,31
21,38,Ellore,Good,64,43,17,andhra-pradesh,33
22,68,Emmiganur,Moderate,39,98,26,andhra-pradesh,35
23,112,Giddalur,Poor,49,30,20,andhra-pradesh,34
24,42,Gudivada,Good,59,42,15,andhra-pradesh,33
25,73,Guntakal,Moderate,57,72,27,andhra-pradesh,33
26,44,Guntur,Good,69,41,13,andhra-pradesh,33
27,20,Hindupur,Good,58,19,8,andhra-pradesh,27
28,85,Jammalamadugu,Moderate,47,20,11,andhra-pradesh,35
29,32,Kadiri,Good,56,17,6,andhra-pradesh,30
30,42,Kakinada,Good,78,45,23,andhra-pradesh,29
31,88,Kandukur,Moderate,75,28,16,andhra-pradesh,33
32,82,Kavali,Moderate,68,32,13,andhra-pradesh,31
33,84,Koilkuntla,Moderate,46,51,21,andhra-pradesh,35
34,51,Kovvur,Moderate,78,60,29,andhra-pradesh,28
35,67,Kurnool,Moderate,37,95,29,andhra-pradesh,33
36,64,Macherla,Moderate,55,49,24,andhra-pradesh,36
37,45,Machilipatnam,Good,69,43,17,andhra-pradesh,29
38,27,Madanapalle,Good,70,18,6,andhra-pradesh,27
39,43,Mandapeta,Good,82,46,23,andhra-pradesh,30
40,32,Mangalagiri,Good,74,30,12,andhra-pradesh,32
41,90,Markapur,Moderate,64,53,23,andhra-pradesh,34
42,35,Nagari,Good,73,40,7,andhra-pradesh,31
43,82,Nandyal,Moderate,44,57,23,andhra-pradesh,34
44,52,Narasannapeta,Moderate,80,36,22,andhra-pradesh,29
45,49,Narasapur,Good,74,56,33,andhra-pradesh,30
46,46,Narasaraopet,Good,58,67,19,andhra-pradesh,34
47,53,Nellore,Moderate,71,61,17,andhra-pradesh,33
48,43,Nidadavole,Good,82,46,23,andhra-pradesh,30
49,73,Ongole,Moderate,74,37,17,andhra-pradesh,28
50,41,Palakollu,Good,74,46,22,andhra-pradesh,30
51,31,Palmaner,Good,74,23,7,andhra-pradesh,27
52,82,Pamidi,Moderate,50,51,23,andhra-pradesh,34
53,25,Parigi,Good,60,20,14,andhra-pradesh,28
54,44,Pedana,Good,69,50,20,andhra-pradesh,29
55,44,Pedda Nandipadu,Good,58,41,13,andhra-pradesh,32
56,42,Pithapuram,Good,78,45,23,andhra-pradesh,29
57,46,Ponduru,Good,69,36,22,andhra-pradesh,33
58,44,Ponnuru,Good,58,41,13,andhra-pradesh,32
59,70,Proddatur,Moderate,47,19,9,andhra-pradesh,34
60,51,Pulivendla,Moderate,49,17,8,andhra-pradesh,33
61,32,Punganuru,Good,71,20,7,andhra-pradesh,27
62,34,Puttur,Good,66,34,5,andhra-pradesh,27
63,74,Rajahmundry,Moderate,82,112,48,andhra-pradesh,29
64,62,Rayachoti,Moderate,67,50,17,andhra-pradesh,30
65,43,Repalle,Good,66,41,14,andhra-pradesh,33
66,43,Samalkot,Good,78,45,23,andhra-pradesh,29
67,77,Sattenapalle,Moderate,66,97,32,andhra-pradesh,33
68,44,Tadepalle,Good,63,41,13,andhra-pradesh,33
69,43,Tadepallegudem,Good,70,46,22,andhra-pradesh,31
70,82,Tadpatri,Moderate,46,36,18,andhra-pradesh,35
71,46,Tanuku,Good,74,46,23,andhra-pradesh,31
72,44,Tenali,Good,66,41,13,andhra-pradesh,34
73,45,Tirupati,Good,73,46,12,andhra-pradesh,27
74,42,Tuni,Good,73,42,24,andhra-pradesh,28
75,34,Venkatagiri,Good,64,31,3,andhra-pradesh,33
76,60,Vinukonda,Moderate,63,39,15,andhra-pradesh,33
77,62,Vishakhapatnam,Moderate,70,48,28,andhra-pradesh,30
78,50,Vizianagaram,Good,73,36,22,andhra-pradesh,32
79,54,Itanagar,Moderate,90,18,7,arunachal-pradesh,25
80,74,Dibrugarh,Moderate,99,26,17,assam,24
81,28,Dispur,Good,74,28,15,assam,28
82,94,Gauripur,Moderate,77,36,24,assam,30
83,37,Guwahati,Good,80,48,18,assam,31
84,31,Jorhat,Good,86,32,7,assam,28
85,69,Silchar,Moderate,68,26,10,assam,32
86,48,Tezpur,Good,80,30,13,assam,30
87,39,Aurangabad,Good,58,49,32,bihar,31
88,52,Begusarai,Moderate,73,56,31,bihar,32
89,142,Bhagalpur,Poor,84,51,34,bihar,32
90,39,Deo,Good,57,49,32,bihar,31
91,48,Gaya,Good,61,33,32,bihar,32
92,56,Muzaffarpur,Moderate,71,12,22,bihar,30
93,60,Patna,Moderate,74,44,33,bihar,29
94,81,Purnea,Moderate,78,57,40,bihar,31
95,93,Rajgir,Moderate,71,112,52,bihar,30
96,78,Saharsa,Moderate,75,47,28,bihar,31
97,43,Chandigarh,Good,48,30,19,chandigarh,32
98,161,Amarkantak,Poor,43,42,27,chhattisgarh,29
99,168,Bhilai,Poor,39,32,22,chhattisgarh,36
100,149,Bilaspur,Poor,33,39,26,chhattisgarh,36
101,152,Durg,Poor,25,31,21,chhattisgarh,36
102,186,Raipur,Poor,39,32,22,chhattisgarh,36
103,101,Silvassa,Poor,65,88,25,dadra-and-nagar-haveli,31
104,68,Diu,Moderate,64,46,23,daman-and-diu,32
105,68,New Delhi,Moderate,63,54,38,delhi,30
106,66,Curchorem,Moderate,77,59,19,goa,29
107,68,Loutolim,Moderate,84,56,19,goa,29
108,70,Panaji,Moderate,86,52,19,goa,30
109,107,Ahmedabad,Poor,39,111,36,gujarat,37
110,106,Ankleshwar,Poor,46,98,32,gujarat,35
111,92,Bhavnagar,Moderate,54,75,35,gujarat,35
112,77,Bhuj,Moderate,55,33,17,gujarat,37
113,96,Chikhli,Moderate,63,84,27,gujarat,31
114,99,Daman,Moderate,72,86,25,gujarat,30
115,113,Dholka,Poor,56,91,38,gujarat,36
116,61,Dwarka,Moderate,86,44,23,gujarat,31
117,72,Ghandinagar,Moderate,41,70,32,gujarat,36
118,82,Godhra,Moderate,36,90,51,gujarat,36
119,79,Jamnagar,Moderate,55,35,19,gujarat,35
120,82,Jasdan,Moderate,43,83,35,gujarat,36
121,88,Khambhat,Moderate,68,90,50,gujarat,35
122,111,Khed Brahma,Poor,46,108,48,gujarat,36
123,90,Mahesana,Moderate,49,78,31,gujarat,37
124,89,Meghraj,Moderate,42,80,36,gujarat,36
125,71,Mundra,Moderate,63,41,22,gujarat,33
126,64,Naliya,Moderate,81,41,22,gujarat,32
127,131,Nandod,Poor,38,82,42,gujarat,35
128,90,Navsari,Moderate,74,80,26,gujarat,31
129,63,Porbandar,Moderate,80,50,26,gujarat,32
130,75,Rajkot,Moderate,36,58,41,gujarat,37
131,91,Sihor,Moderate,51,66,31,gujarat,35
132,109,Surat,Poor,80,113,46,gujarat,32
133,82,Vadodara,Moderate,48,91,59,gujarat,36
134,98,Valsad,Moderate,74,85,25,gujarat,32
135,94,Vapi,Moderate,63,86,25,gujarat,32
136,54,Ambala,Moderate,50,46,18,haryana,16
137,50,Bhiwani,Good,54,20,19,haryana,32
138,58,Faridabad,Moderate,56,52,23,haryana,29
139,51,Gurgaon,Moderate,55,41,21,haryana,30
140,100,Hisar,Moderate,46,82,34,haryana,34
141,79,Karnal,Moderate,50,27,32,haryana,27
142,36,Panchkula,Good,50,22,22,haryana,31
143,68,Panipat,Moderate,52,42,19,haryana,17
144,58,Rohtak,Moderate,57,40,22,haryana,32
145,98,Sirsa,Moderate,51,88,25,haryana,34
146,67,Sonipat,Moderate,59,59,20,haryana,31
147,103,Dharmsala,Poor,52,60,32,himachal-pradesh,24
148,110,Kulu,Poor,26,26,15,himachal-pradesh,22
149,146,Manali,Poor,52,20,12,himachal-pradesh,13
150,68,Shimla,Moderate,69,43,35,himachal-pradesh,21
151,58,Solan,Moderate,68,34,15,himachal-pradesh,25
152,43,Bandipura,Good,44,47,26,jammu-and-kashmir,19
153,40,Baramula,Good,44,43,25,jammu-and-kashmir,19
154,48,Handwara,Good,50,38,22,jammu-and-kashmir,19
155,120,Jammu,Poor,41,57,34,jammu-and-kashmir,32
156,39,Kulgam,Good,58,41,23,jammu-and-kashmir,19
157,114,Rajaori,Poor,41,43,37,jammu-and-kashmir,28
158,45,Sopur,Good,46,48,27,jammu-and-kashmir,19
159,46,Srinagar,Good,51,50,28,jammu-and-kashmir,20
160,136,Udhampur,Poor,61,27,17,jammu-and-kashmir,30
161,91,Chakradharpur,Moderate,67,58,32,jharkhand,32
162,89,Dhanbad,Moderate,82,75,19,jharkhand,28
163,83,Jamshedpur,Moderate,77,71,38,jharkhand,30
164,115,Ranchi,Poor,85,85,45,jharkhand,30
165,30,Bangalore,Good,67,26,11,karnataka,28
166,57,Belgaum,Moderate,67,79,27,karnataka,27
167,67,Bellary,Moderate,46,60,13,karnataka,33
168,41,Belur,Good,87,44,17,karnataka,23
169,120,Bidar,Poor,27,181,34,karnataka,35
170,58,Bijapur,Moderate,52,51,30,karnataka,31
171,43,Channarayapatna,Good,76,34,17,karnataka,28
172,36,Davangere,Good,68,43,17,karnataka,29
173,106,Gulbarga,Poor,27,251,16,karnataka,38
174,66,Hassan,Moderate,79,47,24,karnataka,27
175,78,Hospet,Moderate,48,54,8,karnataka,32
176,90,Hubli,Moderate,75,115,34,karnataka,26
177,23,Kolar,Good,73,17,6,karnataka,26
178,25,Mandya,Good,70,25,10,karnataka,26
179,68,Mangalore,Moderate,81,68,30,karnataka,29
180,48,Mysore,Good,63,50,21,karnataka,27
181,92,Raichur,Moderate,38,112,37,karnataka,27
182,49,Shimoga,Good,76,56,24,karnataka,27
183,40,Shrirangapattana,Good,71,48,22,karnataka,27
184,22,Tumkur,Good,77,21,9,karnataka,25
185,64,Udipi,Moderate,88,8,8,karnataka,28
186,40,Alleppey,Good,84,27,10,kerala,28
187,52,Angamali,Moderate,85,37,25,kerala,25
188,27,Calicut,Good,75,20,12,kerala,28
189,27,Kochi,Good,93,22,11,kerala,26
190,45,Palghat,Good,87,50,32,kerala,28
191,33,Pathanamthitta,Good,83,48,17,kerala,27
192,51,Quilon,Moderate,82,75,33,kerala,30
193,54,Thiruvananthapuram,Moderate,79,64,15,kerala,26
194,55,Trichur,Moderate,87,71,27,kerala,27
195,76,Betma,Moderate,27,56,22,madhya-pradesh,29
196,82,Bhopal,Moderate,20,89,23,madhya-pradesh,32
197,110,Burhanpur,Poor,18,51,18,madhya-pradesh,38
198,62,Gwalior,Moderate,49,52,14,madhya-pradesh,32
199,85,Indore,Moderate,21,79,25,madhya-pradesh,31
200,93,Jabalpur,Moderate,35,92,26,madhya-pradesh,32
201,134,Khajuraho,Poor,39,65,24,madhya-pradesh,34
202,38,Maihar,Good,28,38,12,madhya-pradesh,37
203,99,Mandsaur,Moderate,32,98,23,madhya-pradesh,35
204,103,Orchha,Poor,48,58,22,madhya-pradesh,33
205,94,Ratlam,Moderate,52,110,30,madhya-pradesh,31
206,88,Saugor,Moderate,49,66,17,madhya-pradesh,32
207,113,Ujjain,Poor,24,107,29,madhya-pradesh,32
208,90,Umaria,Moderate,42,90,26,madhya-pradesh,31
209,66,Vidisha,Moderate,31,70,21,madhya-pradesh,36
210,89,Ahmadnagar,Moderate,26,95,58,maharashtra,35
211,87,Akola,Moderate,23,27,16,maharashtra,38
212,97,Amravati,Moderate,27,27,16,maharashtra,40
213,60,Aurangabad,Moderate,29,48,28,maharashtra,39
214,136,Bhayandar,Poor,69,137,16,maharashtra,31
215,158,Bhiwandi,Poor,57,156,41,maharashtra,33
216,112,Bhusaval,Poor,20,45,21,maharashtra,39
217,73,Chanda,Moderate,25,73,32,maharashtra,36
218,75,Chinchvad,Moderate,51,74,42,maharashtra,31
219,89,Dhulia,Moderate,21,44,25,maharashtra,38
220,87,Ichalkaranji,Moderate,54,46,27,maharashtra,30
221,101,Jalgaon,Poor,20,49,22,maharashtra,39
222,91,Junnar,Moderate,55,86,40,maharashtra,30
223,236,Kalyan,Unhealthy,62,143,96,maharashtra,32
224,58,Khed,Moderate,68,56,32,maharashtra,31
225,101,Kolhapur,Poor,54,67,46,maharashtra,31
226,105,Latur,Poor,26,220,37,maharashtra,36
227,70,Malegaon,Moderate,26,54,29,maharashtra,36
228,92,Mumbai,Moderate,71,92,27,maharashtra,31
229,112,Nagpur,Poor,35,91,40,maharashtra,37
230,42,Nanded,Good,20,40,13,maharashtra,39
231,91,Nasik,Moderate,44,90,46,maharashtra,33
232,101,Osmanabad,Poor,29,177,27,maharashtra,35
233,55,Panchgani,Moderate,66,67,42,maharashtra,24
234,46,Parbhani,Good,22,38,16,maharashtra,38
235,101,Pune,Poor,38,108,30,maharashtra,34
236,86,Sangli,Moderate,40,46,27,maharashtra,33
237,60,Solapur,Moderate,29,102,18,maharashtra,37
238,159,Thane,Poor,59,172,18,maharashtra,31
239,150,Ulhasnagar,Poor,57,139,42,maharashtra,33
240,123,Uran,Poor,72,128,38,maharashtra,31
241,63,Yavatmal,Moderate,24,41,19,maharashtra,37
242,34,Imphal,Good,79,33,3,manipur,28
243,28,Shillong,Good,51,22,12,meghalaya,25
244,38,Aizawl,Good,31,18,,mizoram,26
245,39,Kohima,Good,82,37,1,nagaland,22
246,91,Bhubaneshwar,Moderate,67,91,39,odisha,26
247,117,Brahmapur,Poor,81,24,15,odisha,31
248,38,Cuttack,Good,64,22,11,odisha,33
249,60,Jatani,Moderate,73,20,13,odisha,26
250,77,Konarka,Moderate,76,18,10,odisha,31
251,78,Puri,Moderate,80,20,11,odisha,32
252,113,Raurkela,Poor,53,56,38,odisha,33
253,101,Sambalpur,Poor,57,52,36,odisha,35
254,44,Puducherry,Good,76,45,30,puducherry,33
255,71,Abohar,Moderate,40,33,29,punjab,37
256,105,Amritsar,Poor,32,92,78,punjab,37
257,70,Haripur,Moderate,41,40,26,punjab,33
258,21,Hoshiarpur,Good,39,13,13,punjab,34
259,92,Jalandhar,Moderate,31,82,45,punjab,33
260,90,Khem Karan,Moderate,34,69,58,punjab,31
261,71,Ludhiana,Moderate,43,68,36,punjab,32
262,84,Malaut,Moderate,44,40,37,punjab,18
263,58,Mauli,Moderate,20,57,28,punjab,33
264,99,Pathankot,Moderate,36,72,34,punjab,33
265,43,Patiala,Good,54,30,16,punjab,31
266,84,Abu,Moderate,43,81,33,rajasthan,32
267,74,Ajmer,Moderate,26,58,20,rajasthan,37
268,63,Alwar,Moderate,58,62,29,rajasthan,32
269,75,Bharatpur,Moderate,45,52,26,rajasthan,35
270,83,Bhilwara,Moderate,35,63,26,rajasthan,37
271,119,Bikaner,Poor,20,62,17,rajasthan,40
272,109,Chittaurgarh,Poor,41,116,46,rajasthan,36
273,53,Jaipur,Moderate,49,47,15,rajasthan,27
274,159,Jaisalmer,Poor,17,82,16,rajasthan,41
275,105,Jalor,Poor,38,95,39,rajasthan,38
276,71,Jodhpur,Moderate,28,60,26,rajasthan,39
277,96,Kota,Moderate,32,47,29,rajasthan,36
278,106,Pali,Poor,29,101,36,rajasthan,38
279,88,Pushkar,Moderate,23,55,15,rajasthan,36
280,83,Sikar,Moderate,19,68,25,rajasthan,35
281,71,Sriganganagar,Moderate,48,60,43,rajasthan,34
282,74,Tonk,Moderate,44,59,25,rajasthan,36
283,110,Udaipur,Poor,32,119,50,rajasthan,37
284,39,Gangtok,Good,85,28,18,sikkim,19
285,92,Chennai,Moderate,85,34,53,tamil-nadu,26
286,73,Coimbatore,Moderate,68,83,26,tamil-nadu,28
287,53,Conjeeveram,Moderate,73,86,22,tamil-nadu,30
288,44,Cuddalore,Good,76,45,30,tamil-nadu,32
289,75,Dindigul,Moderate,71,97,42,tamil-nadu,28
290,50,Erode,Good,56,42,12,tamil-nadu,30
291,74,Karur,Moderate,66,35,17,tamil-nadu,32
292,33,Kilkunda,Good,91,25,9,tamil-nadu,22
293,47,Kodaikanal,Good,88,19,11,tamil-nadu,17
294,60,Madurai,Moderate,65,26,15,tamil-nadu,32
295,63,Nagercoil,Moderate,76,48,12,tamil-nadu,30
296,57,Negapatam,Moderate,89,34,22,tamil-nadu,31
297,34,Ootacamund,Good,75,29,10,tamil-nadu,22
298,50,Rajapalaiyam,Good,51,32,11,tamil-nadu,32
299,56,Rameswaram,Moderate,71,24,12,tamil-nadu,31
300,68,Salem,Moderate,70,22,13,tamil-nadu,29
301,42,Seven Pagodas,Good,73,45,16,tamil-nadu,29
302,68,Tanjore,Moderate,70,35,24,tamil-nadu,32
303,96,Tinnevelly,Moderate,48,56,19,tamil-nadu,31
304,45,Tiruppur,Good,61,48,20,tamil-nadu,30
305,46,Tiruvannamalai,Good,68,40,21,tamil-nadu,31
306,79,Trichinopoly,Moderate,68,69,35,tamil-nadu,26
307,72,Tuticorin,Moderate,54,29,8,tamil-nadu,32
308,40,Valparai,Good,83,21,10,tamil-nadu,22
309,40,Vellore,Good,71,35,11,tamil-nadu,28
310,80,Adilabad,Moderate,24,132,49,telangana,39
311,76,Armur,Moderate,23,68,26,telangana,38
312,126,Belampalli,Poor,29,72,33,telangana,37
313,65,Bhainsa,Moderate,22,97,30,telangana,38
314,79,Bodhan,Moderate,23,94,29,telangana,38
315,75,Bodupal,Moderate,47,74,27,telangana,34
316,65,Devarkonda,Moderate,41,68,29,telangana,34
317,73,Dubbak,Moderate,24,69,25,telangana,36
318,74,Gadwal,Moderate,37,99,28,telangana,36
319,78,Hyderabad,Moderate,43,67,33,telangana,32
320,44,Jaggayyapeta,Good,46,41,13,telangana,35
321,100,Jagtial,Moderate,27,107,45,telangana,37
322,69,Jangaon,Moderate,27,71,29,telangana,34
323,74,Kamareddipet,Moderate,23,75,24,telangana,36
324,103,Karimnagar,Poor,28,112,58,telangana,37
325,53,Khammam,Moderate,39,45,19,telangana,32
326,103,Koratla,Poor,27,45,21,telangana,38
327,96,Kothapet,Moderate,32,84,35,telangana,38
328,67,Kottagudem,Moderate,65,49,26,telangana,32
329,105,Mahbubnagar,Poor,40,154,62,telangana,35
330,134,Mancheral,Poor,36,67,33,telangana,37
331,130,Mandamari,Poor,36,70,33,telangana,37
332,83,Mangur,Moderate,69,42,24,telangana,33
333,99,Metpalli,Moderate,25,46,20,telangana,38
334,90,Nalgonda,Moderate,36,106,37,telangana,35
335,52,Niala Kondapalle,Moderate,40,51,22,telangana,35
336,66,Nizamabad,Moderate,23,75,22,telangana,38
337,69,Palwancha,Moderate,68,49,26,telangana,32
338,136,Ramgundam,Poor,36,64,33,telangana,37
339,72,Secunderabad,Moderate,42,62,28,telangana,29
340,62,Sirsilla,Moderate,24,61,24,telangana,37
341,68,Suriapet,Moderate,43,57,28,telangana,35
342,80,Vikarabad,Moderate,37,91,24,telangana,33
343,71,Wanparti,Moderate,41,88,29,telangana,35
344,88,Warangal,Moderate,34,118,60,telangana,38
345,76,Yellandu,Moderate,44,53,28,telangana,33
346,31,Agartala,Good,63,24,13,tripura,36
347,129,Agra,Poor,44,88,45,uttar-pradesh,34
348,80,Aligarh,Moderate,52,61,35,uttar-pradesh,33
349,76,Allahabad,Moderate,57,90,51,uttar-pradesh,32
350,67,Bahraich,Moderate,82,35,17,uttar-pradesh,31
351,58,Barehra,Moderate,49,44,22,uttar-pradesh,33
352,59,Bareilly,Moderate,71,70,33,uttar-pradesh,30
353,70,Budaun,Moderate,55,40,22,uttar-pradesh,32
354,54,Bulandshahr,Moderate,52,20,10,uttar-pradesh,33
355,95,Etawah,Moderate,43,85,39,uttar-pradesh,34
356,77,Faizabad,Moderate,60,36,19,uttar-pradesh,31
357,55,Fatehpur,Moderate,49,55,26,uttar-pradesh,33
358,95,Fatehpur Sikri,Moderate,44,65,35,uttar-pradesh,35
359,82,Firozabad,Moderate,45,47,26,uttar-pradesh,34
360,48,Ghaziabad,Good,65,47,19,uttar-pradesh,28
361,129,Gorakhpur,Poor,77,51,34,uttar-pradesh,29
362,38,Hapur,Good,53,16,3,uttar-pradesh,30
363,97,Hathras,Moderate,48,72,39,uttar-pradesh,34
364,46,Jaunpur,Good,56,58,35,uttar-pradesh,31
365,92,Jhansi,Moderate,48,63,24,uttar-pradesh,33
366,84,Kairana,Moderate,56,53,15,uttar-pradesh,33
367,50,Kanpur,Good,53,40,21,uttar-pradesh,34
368,44,Lucknow,Good,67,38,20,uttar-pradesh,32
369,94,Mathura,Moderate,46,96,37,uttar-pradesh,35
370,29,Meerut,Good,56,45,5,uttar-pradesh,30
371,70,Mirzapur,Moderate,51,72,33,uttar-pradesh,31
372,40,Moradabad,Good,60,51,24,uttar-pradesh,29
373,42,Muzaffarnagar,Good,49,34,10,uttar-pradesh,32
374,43,Noida,Good,67,28,26,uttar-pradesh,30
375,72,Pilibhit,Moderate,56,34,17,uttar-pradesh,30
376,36,Rampur,Good,57,32,12,uttar-pradesh,30
377,56,Saharanpur,Moderate,53,51,25,uttar-pradesh,31
378,37,Sambhal,Good,57,33,10,uttar-pradesh,32
379,99,Shahjanpur,Moderate,55,60,36,uttar-pradesh,30
380,51,Sitalpur,Moderate,57,40,19,uttar-pradesh,30
381,50,Varanasi,Good,64,62,32,uttar-pradesh,32
382,67,Vrindavan,Moderate,46,48,22,uttar-pradesh,34
383,86,Dehra Dun,Moderate,58,88,36,uttarakhand,30
384,91,Lansdowne,Moderate,59,68,26,uttarakhand,24
385,79,Nainital,Moderate,65,47,23,uttarakhand,20
386,60,Alipur Duar,Moderate,75,36,24,west-bengal,32
387,59,Asansol,Moderate,67,68,36,west-bengal,31
388,83,Baharampur,Moderate,70,80,53,west-bengal,33
389,57,Baidyabati,Moderate,65,73,35,west-bengal,35
390,36,Bali,Good,49,38,15,west-bengal,35
391,105,Balurghat,Poor,73,48,33,west-bengal,31
392,37,Bangaon,Good,45,42,21,west-bengal,34
393,74,Bankura,Moderate,79,78,36,west-bengal,35
394,49,Bansbaria,Good,48,55,26,west-bengal,34
395,31,Barasat,Good,78,31,16,west-bengal,32
396,49,Barddhaman,Good,46,54,26,west-bengal,35
397,32,Basirhat,Good,52,39,19,west-bengal,34
398,33,Bhadreswar,Good,65,42,20,west-bengal,33
399,33,Bhatpara,Good,65,42,20,west-bengal,33
400,57,Champdani,Moderate,65,99,31,west-bengal,35
401,33,Chandannagar,Good,65,42,20,west-bengal,33
402,43,Dam Dam,Good,56,49,21,west-bengal,36
403,40,Darjeeling,Good,93,33,22,west-bengal,18
404,86,Durgapur,Moderate,62,86,41,west-bengal,33
405,40,Habra,Good,57,49,26,west-bengal,34
406,23,Haldia,Good,74,16,10,west-bengal,31
407,58,Halisahar,Moderate,48,61,29,west-bengal,34
408,51,Howrah,Moderate,49,51,30,west-bengal,35
409,33,Hugli,Good,65,42,20,west-bengal,33
410,131,Ingraj Bazar,Poor,90,55,38,west-bengal,31
411,41,Jalpaiguri,Good,73,35,23,west-bengal,31
412,62,Jamuria,Moderate,71,77,38,west-bengal,31
413,31,Jaynagar-Majilpur,Good,78,31,15,west-bengal,32
414,42,Kalyani,Good,48,65,29,west-bengal,34
415,33,Kamarhati,Good,65,41,20,west-bengal,35
416,74,Kanchrapara,Moderate,48,87,33,west-bengal,34
417,36,Kharagpur,Good,50,36,18,west-bengal,33
418,33,Khardah,Good,65,42,20,west-bengal,35
419,37,Kolkata,Good,56,33,16,west-bengal,35
420,42,Krishnanagar,Good,45,46,24,west-bengal,34
421,58,Kulti,Moderate,72,74,38,west-bengal,31
422,52,Madhyamgram,Moderate,57,69,31,west-bengal,35
423,119,Mahadipur,Poor,90,64,42,west-bengal,31
424,42,Medinipur,Good,50,39,19,west-bengal,33
425,33,Naihati,Good,65,42,20,west-bengal,33
426,45,Navadwip,Good,47,47,25,west-bengal,34
427,33,Panihati,Good,65,41,20,west-bengal,35
428,67,Raiganj,Moderate,75,38,25,west-bengal,31
429,130,Rajmahal,Poor,90,53,36,west-bengal,30
430,33,Rishra,Good,65,41,20,west-bengal,35
431,36,Shantipur,Good,46,45,22,west-bengal,34
432,40,Shiliguri,Good,74,34,21,west-bengal,30
433,57,Shrirampur,Moderate,65,67,33,west-bengal,35
434,76,Titagarh,Moderate,65,80,44,west-bengal,35
435,30,Uluberiya,Good,62,35,19,west-bengal,33
